,frequency,path_loss
0,500.0,495.0
1,3500.0,3495.0
2,4000.0,3995.0
3,4500.0,4495.0
4,5000.0,4995.0
5,5500.0,5495.0
6,6000.0,5995.0
7,6500.0,6495.0
8,7000.0,6995.0
9,7500.0,7495.0
10,8000.0,7995.0
11,8500.0,8495.0
12,9000.0,8995.0
13,9500.0,9495.0
14,10000.0,9995.0
15,10500.0,10495.0
16,11000.0,10995.0
17,11500.0,11495.0
18,12000.0,11995.0
19,12500.0,12495.0
20,13000.0,12995.0
21,13500.0,13495.0
22,14000.0,13995.0
23,14500.0,14495.0
24,15000.0,14995.0
25,15500.0,15495.0
26,16000.0,15995.0
27,16500.0,16495.0
28,17000.0,16995.0
29,17500.0,17495.0
30,18000.0,17995.0
31,18500.0,18495.0
32,19000.0,18995.0
33,19500.0,19495.0
34,22050.0,22045.0
35,22100.0,22095.0
36,22150.0,22145.0
37,22200.0,22195.0
38,22250.0,22245.0
39,22300.0,22295.0
40,22350.0,22345.0
41,22400.0,22395.0
42,22450.0,22445.0
43,22500.0,22495.0
44,22550.0,22545.0
45,22600.0,22595.0
46,22650.0,22645.0
47,22700.0,22695.0
48,22750.0,22745.0
49,22800.0,22795.0
50,22850.0,22845.0
51,22900.0,22895.0
52,22950.0,22945.0
53,23000.0,22995.0
54,23000.0,22995.0
55,23050.0,23045.0
56,23100.0,23095.0
57,23150.0,23145.0
58,23200.0,23195.0
59,23250.0,23245.0
60,23300.0,23295.0
61,23350.0,23345.0
62,23400.0,23395.0
63,23450.0,23445.0
64,23500.0,23495.0
65,23550.0,23545.0
66,23600.0,23595.0
67,23650.0,23645.0
68,23700.0,23695.0
69,23750.0,23745.0
70,23800.0,23795.0
71,23850.0,23845.0
72,23900.0,23895.0
73,23950.0,23945.0
74,24000.0,23995.0
75,24000.0,23995.0
76,24050.0,24045.0
77,24100.0,24095.0
78,24150.0,24145.0
79,24200.0,24195.0
80,24250.0,24245.0
81,24300.0,24295.0
82,24350.0,24345.0
83,24400.0,24395.0
84,24450.0,24445.0
85,24500.0,24495.0
86,24550.0,24545.0
87,24600.0,24595.0
88,24650.0,24645.0
89,24700.0,24695.0
90,24750.0,24745.0
91,24800.0,24795.0
92,24850.0,24845.0
93,24900.0,24895.0
94,24950.0,24945.0
95,25000.0,24995.0
96,25000.0,24995.0
97,25050.0,25045.0
98,25100.0,25095.0
99,25150.0,25145.0
100,25200.0,25195.0
101,25250.0,25245.0
102,25300.0,25295.0
103,25350.0,25345.0
104,25400.0,25395.0
105,25450.0,25445.0
106,25500.0,25495.0
107,25550.0,25545.0
108,25600.0,25595.0
109,25650.0,25645.0
110,25700.0,25695.0
111,25750.0,25745.0
112,25800.0,25795.0
113,25850.0,25845.0
114,25900.0,25895.0
115,25950.0,25945.0
116,26000.0,25995.0
117,26000.0,25995.0
118,26050.0,26045.0
119,26100.0,26095.0
120,26150.0,26145.0
121,26200.0,26195.0
122,26250.0,26245.0
123,26300.0,26295.0
124,26350.0,26345.0
125,26400.0,26395.0
126,26450.0,26445.0
127,26500.0,26495.0
128,26550.0,26545.0
129,26600.0,26595.0
130,26650.0,26645.0
131,26700.0,26695.0
132,26750.0,26745.0
133,26800.0,26795.0
134,26850.0,26845.0
135,26900.0,26895.0
136,26950.0,26945.0
137,27000.0,26995.0
138,27000.0,26995.0
139,27050.0,27045.0
140,27100.0,27095.0
141,27150.0,27145.0
142,27200.0,27195.0
143,27250.0,27245.0
144,27300.0,27295.0
145,27350.0,27345.0
146,27400.0,27395.0
147,27450.0,27445.0
148,27500.0,27495.0
149,27550.0,27545.0
150,27600.0,27595.0
151,27650.0,27645.0
152,27700.0,27695.0
153,27750.0,27745.0
154,27800.0,27795.0
155,27850.0,27845.0
156,27900.0,27895.0
157,27950.0,27945.0
158,28000.0,27995.0
159,28000.0,27995.0
160,28050.0,28045.0
161,28100.0,28095.0
162,28150.0,28145.0
163,28200.0,28195.0
164,28250.0,28245.0
165,28300.0,28295.0
166,28350.0,28345.0
167,28400.0,28395.0
168,28450.0,28445.0
169,28500.0,28495.0
170,28550.0,28545.0
171,28600.0,28595.0
172,28650.0,28645.0
173,28700.0,28695.0
174,28750.0,28745.0
175,28800.0,28795.0
176,28850.0,28845.0
177,28900.0,28895.0
178,28950.0,28945.0
179,29000.0,28995.0
180,29000.0,28995.0
181,29050.0,29045.0
182,29100.0,29095.0
183,29150.0,29145.0
184,29200.0,29195.0
185,29250.0,29245.0
186,29300.0,29295.0
187,29350.0,29345.0
188,29400.0,29395.0
189,29450.0,29445.0
190,29500.0,29495.0
191,29550.0,29545.0
192,29600.0,29595.0
193,29650.0,29645.0
194,29700.0,29695.0
195,29750.0,29745.0
196,29800.0,29795.0
197,29850.0,29845.0
198,29900.0,29895.0
199,29950.0,29945.0
200,30000.0,29995.0
201,30100.0,30095.0
202,30200.0,30195.0
203,30300.0,30295.0
204,30400.0,30395.0
205,30500.0,30495.0
206,30600.0,30595.0
207,30700.0,30695.0
208,30800.0,30795.0
209,30900.0,30895.0
210,31000.0,30995.0
211,31000.0,30995.0
212,31100.0,31095.0
213,31200.0,31195.0
214,31300.0,31295.0
215,31400.0,31395.0
216,31500.0,31495.0
217,31600.0,31595.0
218,31700.0,31695.0
219,31800.0,31795.0
220,31900.0,31895.0
221,32000.0,31995.0
222,32000.0,31995.0
223,32100.0,32095.0
224,32200.0,32195.0
225,32300.0,32295.0
226,32400.0,32395.0
227,32500.0,32495.0
228,32600.0,32595.0
229,32700.0,32695.0
230,32800.0,32795.0
231,32900.0,32895.0
232,33000.0,32995.0
233,33000.0,32995.0
234,33100.0,33095.0
235,33200.0,33195.0
236,33300.0,33295.0
237,33400.0,33395.0
238,33500.0,33495.0
239,33600.0,33595.0
240,33700.0,33695.0
241,33800.0,33795.0
242,33900.0,33895.0
243,34000.0,33995.0
